location,year_range,region_of_residence,nights,visits,gbp_spent
Inverclyde,2014-2016,Scotland,112000,39000,6000000
Inverclyde,2016-2018,Scotland,82000,27000,5000000
Inverclyde,2016-2018,England,55000,18000,4000000
Inverclyde,2016-2018,All of GB,151000,49000,9000000
Midlothian,2013-2015,Scotland,55000,14000,1000000
Midlothian,2013-2015,England,47000,13000,2000000
Midlothian,2014-2016,Scotland,34000,9000,1000000
Midlothian,2014-2016,England,13000,10000,1000000
Midlothian,2014-2016,All of GB,54000,25000,3000000
Midlothian,2013-2015,All of GB,108000,33000,6000000
Midlothian,2010-2012,Scotland,15000,12000,1000000
Midlothian,2010-2012,All of GB,330000,55000,7000000
Midlothian,2015-2017,All of GB,105000,39000,5000000
Midlothian,2010-2012,England,315000,42000,7000000
Midlothian,2016-2018,Scotland,21000,14000,0
Midlothian,2016-2018,England,62000,18000,2000000
Midlothian,2016-2018,All of GB,84000,32000,3000000
Midlothian,2015-2017,Scotland,42000,14000,1000000
Midlothian,2015-2017,England,56000,18000,2000000
Midlothian,2017-2019,All of GB,162000,46000,5000000
Midlothian,2012-2014,Scotland,29000,10000,1000000
Midlothian,2009-2011,England,49000,25000,5000000
Midlothian,2009-2011,Scotland,13000,13000,0
Midlothian,2009-2011,All of GB,62000,38000,5000000
Midlothian,2017-2019,Scotland,52000,20000,2000000
Midlothian,2017-2019,England,110000,26000,3000000
Midlothian,2012-2014,England,305000,26000,3000000
Midlothian,2011-2013,England,352000,49000,8000000
Midlothian,2011-2013,Scotland,32000,13000,1000000
Midlothian,2012-2014,All of GB,334000,37000,4000000
Midlothian,2011-2013,All of GB,384000,63000,10000000
Moray,2016-2018,Scotland,234000,62000,10000000
Moray,2010-2012,England,401000,66000,12000000
Moray,2010-2012,Scotland,342000,154000,18000000
Moray,2010-2012,All of GB,749000,221000,31000000
Moray,2016-2018,All of GB,562000,115000,29000000
Moray,2016-2018,England,328000,54000,19000000
Moray,2014-2016,Scotland,527000,134000,22000000
Moray,2014-2016,All of GB,820000,197000,47000000
Moray,2014-2016,England,277000,60000,24000000
Moray,2017-2019,England,315000,49000,12000000
Moray,2017-2019,All of GB,639000,133000,25000000
Moray,2017-2019,Scotland,323000,84000,13000000
Moray,2012-2014,Scotland,762000,208000,29000000
Moray,2012-2014,All of GB,1240000,274000,51000000
Moray,2012-2014,England,341000,61000,16000000
Moray,2011-2013,Scotland,498000,185000,24000000
Moray,2015-2017,All of GB,573000,150000,36000000
Moray,2011-2013,England,466000,67000,16000000
Moray,2011-2013,All of GB,1102000,256000,47000000
Moray,2015-2017,Scotland,284000,95000,15000000
Moray,2015-2017,England,273000,53000,20000000
Moray,2013-2015,England,421000,76000,23000000
Moray,2013-2015,Scotland,735000,187000,30000000
Moray,2013-2015,All of GB,1304000,269000,60000000
Moray,2009-2011,England,412000,81000,17000000
Moray,2009-2011,Scotland,287000,113000,15000000
Moray,2009-2011,All of GB,699000,194000,32000000
North Ayrshire,2009-2011,Scotland,639000,190000,24000000
North Ayrshire,2009-2011,All of GB,1565000,283000,60000000
North Ayrshire,2009-2011,England,905000,90000,36000000
North Ayrshire,2012-2014,England,309000,78000,19000000
North Ayrshire,2012-2014,Scotland,597000,207000,32000000
North Ayrshire,2012-2014,All of GB,929000,288000,53000000
North Ayrshire,2013-2015,England,195000,57000,18000000
North Ayrshire,2013-2015,Scotland,739000,223000,41000000
North Ayrshire,2013-2015,All of GB,934000,280000,59000000
North Ayrshire,2015-2017,England,366000,101000,33000000
North Ayrshire,2015-2017,All of GB,992000,266000,66000000
North Ayrshire,2015-2017,Scotland,626000,165000,33000000
North Ayrshire,2010-2012,All of GB,1361000,260000,63000000
North Ayrshire,2010-2012,Scotland,414000,150000,21000000
North Ayrshire,2014-2016,Scotland,679000,198000,39000000
North Ayrshire,2010-2012,England,904000,104000,41000000
North Ayrshire,2014-2016,All of GB,1026000,288000,68000000
North Ayrshire,2011-2013,Scotland,502000,177000,26000000
North Ayrshire,2014-2016,England,347000,89000,28000000
North Ayrshire,2011-2013,All of GB,1071000,274000,60000000
North Ayrshire,2011-2013,England,546000,94000,33000000
North Ayrshire,2016-2018,All of GB,840000,246000,55000000
North Ayrshire,2016-2018,England,329000,82000,25000000
North Ayrshire,2016-2018,Scotland,511000,164000,30000000
North Ayrshire,2017-2019,England,164000,48000,12000000
North Ayrshire,2017-2019,Scotland,570000,176000,30000000
North Ayrshire,2017-2019,All of GB,734000,224000,42000000
Orkney Islands,2014-2016,All of GB,378000,66000,32000000
Orkney Islands,2014-2016,England,246000,40000,16000000
Orkney Islands,2014-2016,Scotland,132000,25000,15000000
Orkney Islands,2011-2013,All of GB,457000,70000,24000000
Orkney Islands,2011-2013,England,297000,33000,15000000
Orkney Islands,2011-2013,Scotland,158000,34000,9000000
Orkney Islands,2009-2011,Scotland,205000,37000,14000000
Orkney Islands,2009-2011,All of GB,380000,75000,25000000
Orkney Islands,2009-2011,England,175000,37000,11000000
Orkney Islands,2010-2012,England,238000,28000,12000000
Orkney Islands,2010-2012,Scotland,218000,43000,10000000
Orkney Islands,2016-2018,Scotland,249000,41000,22000000
Orkney Islands,2016-2018,All of GB,507000,96000,46000000
Orkney Islands,2010-2012,All of GB,456000,71000,22000000
Orkney Islands,2016-2018,England,258000,55000,24000000
Orkney Islands,2013-2015,Scotland,82000,18000,3000000
Orkney Islands,2013-2015,England,243000,30000,17000000
Orkney Islands,2017-2019,England,217000,40000,23000000
Orkney Islands,2017-2019,Scotland,316000,51000,15000000
Orkney Islands,2015-2017,Scotland,211000,31000,20000000
Orkney Islands,2015-2017,England,217000,44000,20000000
Orkney Islands,2013-2015,All of GB,327000,51000,21000000
Orkney Islands,2017-2019,All of GB,533000,92000,38000000
Orkney Islands,2012-2014,Scotland,177000,36000,9000000
Orkney Islands,2012-2014,England,355000,36000,19000000
Orkney Islands,2015-2017,All of GB,428000,75000,40000000
Orkney Islands,2012-2014,All of GB,535000,76000,28000000
Scottish Borders,2017-2019,All of GB,1137000,340000,63000000
Scottish Borders,2017-2019,Scotland,387000,144000,24000000
Scottish Borders,2017-2019,England,705000,188000,37000000
Scottish Borders,2012-2014,Scotland,487000,148000,27000000
Scottish Borders,2012-2014,All of GB,1236000,354000,69000000
Scottish Borders,2012-2014,England,704000,198000,40000000
Scottish Borders,2013-2015,Scotland,388000,146000,28000000
Scottish Borders,2015-2017,All of GB,852000,277000,53000000
